cleaned_text,textblob_sentiment,sentiment_category
canary indoor cameras constantly alerting air quality compromised got try see cleaning air would help setting getting going detected poor air quality old house put main living room turned highest setting set hour app super user friendly also even hours air quality camera air cleaner changed dramatically pretty shocked earth breathing lol love control work alexa connected even google speakers upstairs connect voice activated commands even shuts im turn back app pretty amazing also like fact run using different filters basic carbon one comes pet one mildew chemical one would great broad spectrum filter one buy would gripe id even pay currently chose filter ill buy change randomly suppose arent expensive around bucks auto shipped every months recommended change time right app amazon even highest setting sounds like white noice peaceful bearing im going get one two floors house entire house stay fresher heavy bulky carry child could carry yet solid nice quality feel heavy duty plastic cheap overall dollar amount spent im super impressed say least great product im looking forward less alerts air quality canary indoor cameras,0.11729408,Positive
opened box first thing noticed nice sleek purifier looks person decent size it’s heavy goes home esthetic also quiet unless it’s full blast check see it’s actually that’s quite app syncs machine also awesome super user friendly unit quick respond favorite aspect pet setting giant rottweilers one longer hair hair dust leave around house ridiculous ive purifier running couple days already tell difference dust glad made choice buy,0.258333333,Positive
recently removed downdraft cooktop rather spend k another decided go ventless buy air purifier remove odors need since rarely used downdraft anyway also never air purifier really like ease use ability charcoal filter odors hepa filter get airborne pollutents prefilter washed catch dog hair quiet linked via alexa treat wifi resource controlled remotely larger unit treat sq feet intend buy another upstairs,0.1,Neutral
favorite part air purifier autonomous autonomous feature levoit air purifier true standout constantly monitors air quality room adjusts settings accordingly means set forget effortlessly adapts changing needs living space breath fresh air value convenience setting customizing autonomous mode breeze userfriendly interface led display provides realtime air quality feedback allowing monitor purifiers performance glance levoit air purifiers autonomous feature breath fresh air world air purification takes hassle maintaining clean indoor air ensures family breathe easy day night responsive technology quiet operation energy efficiency userfriendly design stellar choice demand best air quality convenience cant recommend highly enough,0.34,Positive
i’m really happy decided go model it’s super quiet can’t even tell it’s running unless really listen right close app updated works seamlessly iphone live dry dusty environment i’ve noticed dust normally covers room actually gone way used dust least every week actually went almost full month since we’ve unit air seems much better we’re happy results like app lets everything everything even aren’t home great quality relatively fair price it’s noticeable improvement air quality almost immediately environmentally friendly barely using electricity definitely another noteworthy plus happy customer recommend,0.255170209,Positive
purifier great far month worked perfectly love washable prefilter seems like make hepa filter last lot longer low setting quiet hardly hear great use night next level still low enough watching tv barely noticeable love control phone app would highly recommend item right,0.193603175,Positive
round rectangle one like one slim fit aesthetically room quiet remotely set timer click walk pass,0.025,Neutral
severe allergies researching trying decide air purifier get hepa main thing looking finally settled one early christmas present got air purifier month ago it’s running room since wow difference far room always felt stale stuffy tried small cheap air purifier didn’t much wasn’t big enough room really help levoit one great love filters washable changed every months even different filter options use definitely want try petallergy one next like air purifier smart device another factor made choose one love control air purifier phone even i’m home app see air quality it’s detecting shows life filter also set reminders tell clean filters also schedule air purifier turn well mode there’s even timer highest mode would isn’t noisy even sleep you’re looking true hepa air purifier highly recommend one especially price fairly decent compared expensive ones i’ve looked,0.118241758,Positive
seller probably wants kill purchased canceled one graded ordereding upstairs rooms got mini canceled got mini extra automatic pads bathroom windows cat genie cat dogs friend came upstairs pass smell test special area bathroom cat genie small room black dust forms ceiling fan room x master x master dogs got upstairs completed read reviews love software days love fresh air sleep mode don’t use put auto cleaning run hour fan mode hour air quality good sprayed glade air freshener filter ocean breeze smell look forward let mode love hair filter prevents filter getting junk hvac air filter shows grey dust well hopefully won’t changed often,0.235497835,Positive
spare bathroom cats litter box door always open quick warning using next litter box probably dont use auto feature detected cats poop smell air quality went good bad air speed turned scared crap cat exactly air filter supposed though stars couldn’t smell poop keep constant boost necessary love product,0.028333333,Neutral
young puppy still potty pad trained also live apartment back air system allows smells apts flow home air purifier fantastic quickly automatically escalates cleaning process registers kind odor absolutely noise entire apt smells fresh clean well worth it’s price,0.278030303,Positive
granted brand purifier ive ever owned reviews good took leap im glad bought smaller purifiers first liked decided wanted something bigger cover downstairs took smaller downstairs one bedroom one bigger shape convenient placed center downstairs wall round ones need away wall intake ° one doesnt pulled away wall keep like inch wall live apartment lot neighbors smoke wd helps smell seeps didnt realize detected air quality bought popped alert watch pleasantly surprised didnt notice alert several hours went looked back time spike burning dinner stove lol love app keeps track everything id never remember change filters anything purifiers ive bought great wifi connectivity never issues ive set schedules one one always properly dont know helping health good smells keeping air fresher child ventilator extra piece mind hepa filters catch lot crap theyre disgusting change,0.135743802,Positive
placed kitchen automatic mode keeps low airflow across sensor soon something starts getting bit smokey stove kicks fan speed clears fast needs get level even hear ive never seen kitchen haze cooking meal,0.1,Neutral
great addition air purifier’s it’s connected wifi easy turn phone removes unwanted stale smells home little loud usually run night home,0.065972222,Neutral
neighbor needs smoke weed frequently walls behind units radiator gaps connect unit purchased air purifier automatically detect weed odor eliminate whenever required unfortunately cannot detect weed odor automatically manually activate turbo mode longer smell weed odor unit im going give fivestar rating provides way get rid bad smells,-0.375,Negative
first air purifier ive bought far seems like job house smells cleaner dont notice much dust house random floating pet hair cats dogs quiet even higher settings youre gonna hear fan full blast super loud auto function seems work well fiance burnt bacon purifier detected poor air quality ramped fan speed detected good air quality sleep mode schedule functions expected efficient air cleaning setting auto mode says clean sqft however product description says clean sqft little misleading unless im seeing proper function overall good air purifier ill likely pick smaller unit bedroom,0.096626984,Neutral
set appwifi pleased delivery ease use ive noticed lot less dust air still dust furniture week vacuum daily main living area lot cleaner try shut windows open havent changed filter yet,0.081944444,Neutral
people dogs lousiana month clean times week automatic setting doesn’t pick pee smell puppies still go middle night carpet 🙄 leaving haven’t issues amount dust way less wiping tables shelves every day week,0.066666667,Neutral
even impressed amount dust collects good size air intake openings near tvgaming stand since thats dust pet hair wants accumulate noisy higher fan speeds ya gonna ordered dead arrival poor quality control guess seems efficient levoit returnedwhich really loud little air pulling power filter beware levoit customer lack service dont accept phone calls email said ill buy sale,0.10625,Positive
works great got dog also bad habit vaping soon exhale vape ft away picks filters air lot modes pet mode use make noise neither,0.05,Neutral
told particular brand coworkers reading reviews decided start small room one upgraded pet hair larger combine room works greats mobile app also nice,0.129166667,Positive
air purifier works well fairly quiet price definitely worth money bought lower quality ones work well also however sale price one less covers area happy purchase im sure units could better would rather get particular one works particularly well regards pets purchased nd one yr old grandsons room breathing issues night propane heater clicks im hoping might help ill update later,0.16969697,Positive
bought two home one floor easy set use right box remember take plastic wrap filter feel difference air quality couldn’t happier purifiers love much giving gifts holidays air quality indicator changes immediately cooking smoke air purifier also decreased amount dust home significantly highly recommend,0.196507937,Positive
weve machine days done great job thus far features app work without issues responds quickly changes app keep auto kicks moment detects anything air light cannabis across room within minute machine kicks cleans air smoke odor cooking cool feature kids grandkids lock display cannot change settings also turn display lights together ill probably edit review filter changed first time far im pretty impressed,0.308333333,Positive
air purifier helped much dogs cat live house can’t smell animals,0.168181818,Positive
bought placed near cats litter box great job keeping air clean cant tell cats,0.422222222,Positive
unit easy use fits wall takes little space runs quietly like color symbol changes air quality less optimal,0.019791667,Neutral
ordered cyber monday impressed run master bedroom suite square feet total auto mode works like charm display turns night turn lights time running can’t even hear would purchase,0.5,Positive
turn fan ring light appears soon fan begins recirculating air shows one four levels red meaning really poor blue meaning good worked years worth accumulations studyarchival stuffi stirred enough dust mold cat fur dander got red flash gradually change blue air began smell clean could breathe better got second fan bedroom slept better ever since began using third fan order go downstairs area sit evenings fans portable need put one needed often turn bedroom fan pet setting fan slows gets quiet turns every hour check air quality runs long needed considering power amazingly quiet machine habit recommending things without reservation levoit fan hesitation get free machine paid stock like share information something regard useful pleasing good job levoit,0.185833333,Positive
